date,close,open,high,low
2000/01/01,19539.7,19002.86,19539.7,18168.27
2000/02/01,19959.52,19423.38,20007.77,19367.83
2000/03/01,20337.32,20081.67,20706.65,19078.6
2000/04/01,17973.7,20726.99,20833.21,17973.7
2000/05/01,16332.45,18403.08,18439.36,16008.14
2000/06/01,17411.05,16694.3,17475.9,16318.31
2000/07/01,15727.49,17614.66,17614.66,15727.49
2000/08/01,16861.26,16099.67,17181.12,15667.36
2000/09/01,15747.26,16739.78,16739.78,15626.96
2000/10/01,14539.6,15902.51,16149.08,14464.56
2000/11/01,14648.51,14872.39,15399.64,14301.31
2000/12/01,13785.69,14835.33,15168.68,13423.21
2001/01/01,13843.55,13691.49,14032.42,13201.07
2001/02/01,12883.54,13779.55,13779.55,12883.54
2001/03/01,12999.7,12681.66,13862.31,11819.7
2001/04/01,13934.32,12937.86,13973.03,12620.27
2001/05/01,13262.14,14425.46,14529.41,13262.14
2001/06/01,12969.05,13261.84,13430.22,12574.26
2001/07/01,11860.77,12751.18,12817.41,11579.27
2001/08/01,10713.51,11959.33,12399.2,10713.51
2001/09/01,9774.68,10409.68,10772.59,9504.41
2001/10/01,10366.34,9972.28,10880.1,9924.23
2001/11/01,10697.44,10347.28,11064.3,10030.56
2001/12/01,10542.62,10370.62,10857.28,10192.57
2002/01/01,9997.8,10871.49,10942.36,9919.48
2002/02/01,10587.83,9791.43,10587.83,9420.85
2002/03/01,11024.94,10812,11919.3,10812
2002/04/01,11492.54,11028.7,11736.83,10962.98
2002/05/01,11763.7,11552.79,11979.85,11316.04
2002/06/01,10621.84,11901.39,11901.39,10074.56
2002/07/01,9877.94,10595.44,10960.25,9591.03
2002/08/01,9619.3,9793.51,10067.74,9501.02
2002/09/01,9383.29,9521.63,9669.62,9075.09
2002/10/01,8640.48,9162.26,9162.26,8439.62
2002/11/01,9215.56,8685.72,9215.56,8303.39
2002/12/01,8578.95,9174.47,9205.11,8344.01
2003/01/01,8339.94,8713.33,8790.92,8316.81
2003/02/01,8363.04,8500.79,8771.89,8356.81
2003/03/01,7972.71,8490.4,8490.4,7862.43
2003/04/01,7831.42,7986.72,8249.98,7607.88
2003/05/01,8424.51,7863.29,8424.51,7863.29
2003/06/01,9083.11,8547.17,9137.14,8547.17
2003/07/01,9563.21,9278.49,9990.95,9278.49
2003/08/01,10343.55,9611.67,10362.69,9265.56
2003/09/01,10219.05,10670.18,11033.32,10219.05
2003/10/01,10559.59,10361.24,11161.71,10335.16
2003/11/01,10100.57,10847.97,10847.97,9614.6
2003/12/01,10676.64,10403.27,10676.64,9910.56
2004/01/01,10783.61,10825.17,11103.1,10665.15
2004/02/01,11041.92,10776.73,11041.92,10365.4
2004/03/01,11715.39,11271.12,11770.65,11162.75
2004/04/01,11761.79,11683.42,12163.89,11683.42
2004/05/01,11236.37,11571.34,11571.34,10505.05
2004/06/01,11858.87,11296.76,11884.06,11027.05
2004/07/01,11325.78,11896.01,11896.01,11031.54
2004/08/01,11081.79,11222.24,11222.24,10687.81
2004/09/01,10823.57,11127.35,11298.94,10786.1
2004/10/01,10771.42,10985.17,11385.38,10659.15
2004/11/01,10899.25,10734.71,11227.57,10734.71
2004/12/01,11488.76,10784.25,11488.76,10756.8
2005/01/01,11387.59,11517.75,11539.99,11238.37
2005/02/01,11740.6,11384.4,11740.6,11360.4
2005/03/01,11668.95,11780.53,11966.69,11565.88
2005/04/01,11008.9,11723.63,11874.75,10938.44
2005/05/01,11276.59,11002.11,11276.59,10825.39
2005/06/01,11584.01,11329.67,11584.01,11160.88
2005/07/01,11899.6,11630.13,11899.6,11565.99
2005/08/01,12413.6,11946.92,12502.26,11766.48
2005/09/01,13574.3,12506.97,13617.24,12506.97
2005/10/01,13606.5,13525.28,13738.84,13106.18
2005/11/01,14872.15,13867.86,14986.94,13867.86
2005/12/01,16111.43,15130.5,16344.2,15130.5
2006/01/01,16649.82,16361.54,16649.82,15341.18
2006/02/01,16205.43,16480.09,16747.76,15437.93
2006/03/01,17059.66,15964.46,17059.66,15627.49
2006/04/01,16906.23,17333.31,17563.37,16906.23
2006/05/01,15467.33,16925.71,17291.67,15467.33
2006/06/01,15505.18,15503.74,15789.31,14218.6
2006/07/01,15456.81,15571.62,15638.5,14437.24
2006/08/01,16140.76,15440.91,16181.17,15154.06
2006/09/01,16127.58,16134.25,16385.96,15557.45
2006/10/01,16399.39,16254.29,16811.6,16082.55
2006/11/01,16274.33,16375.26,16393.41,15725.94
2006/12/01,17225.83,16321.78,17225.83,16265.76
2007/01/01,17383.42,17353.67,17507.4,16838.17
2007/02/01,17604.12,17519.5,18215.35,17292.32
2007/03/01,17287.65,17453.51,17521.96,16642.25
2007/04/01,17400.41,17028.41,17743.76,17028.41
2007/05/01,17875.75,17274.98,17875.75,17274.98
2007/06/01,18138.36,17958.88,18240.3,17732.77
2007/07/01,17248.89,18146.3,18261.98,17248.89
2007/08/01,16569.09,16870.98,17170.6,15273.68
2007/09/01,16785.69,16524.93,16832.22,15764.97
2007/10/01,16737.63,16845.96,17458.98,16284.17
2007/11/01,15680.67,16870.4,16870.4,14837.66
2007/12/01,15307.78,15628.97,16044.72,15030.51
2008/01/01,13592.47,14691.41,14691.41,12573.05
2008/02/01,13603.02,13497.16,14031.3,13017.24
2008/03/01,12525.54,12992.18,13215.42,11787.51
2008/04/01,13849.99,12656.42,13894.37,12656.42
2008/05/01,14338.54,13766.86,14338.54,13655.34
2008/06/01,13481.38,14440.14,14489.44,13481.38
2008/07/01,13376.81,13463.2,13603.31,12754.56
2008/08/01,13072.87,13094.59,13430.91,12666.04
2008/09/01,11259.86,12834.18,12834.18,11259.86
2008/10/01,8576.98,11368.26,11368.26,7162.9
2008/11/01,8512.27,9114.6,9521.24,7703.04
2008/12/01,8859.56,8397.22,8859.56,7863.69
2009/01/01,7994.05,9043.12,9239.24,7682.14
2009/02/01,7568.42,7873.98,8076.62,7268.56
2009/03/01,8109.53,7280.15,8636.33,7054.98
2009/04/01,8828.26,8351.91,8964.11,8351.91
2009/05/01,9522.5,8977.37,9522.5,8977.37
2009/06/01,9958.44,9677.75,10135.82,9549.61
2009/07/01,10356.83,9939.93,10356.83,9050.33
2009/08/01,10492.53,10352.47,10639.71,10204
2009/09/01,10133.23,10530.06,10544.22,10009.52
2009/10/01,10034.74,9978.64,10362.62,9674.49
2009/11/01,9345.55,9802.95,9871.68,9081.52
2009/12/01,10546.44,9572.2,10638.06,9572.2
2010/01/01,10198.04,10654.79,10982.1,10198.04
2010/02/01,10126.03,10205.02,10404.33,9932.9
2010/03/01,11089.94,10172.06,11097.14,10145.72
2010/04/01,11057.4,11244.4,11339.3,10900.68
2010/05/01,9768.7,10695.69,10695.69,9459.89
2010/06/01,9382.64,9711.83,10238.01,9382.64
2010/07/01,9537.3,9191.6,9795.24,9191.6
2010/08/01,8824.06,9570.31,9694.01,8824.06
